fontstyle,italic,Bold
HnvygqAdvTT8861b38f.I,1,0
CvvndqHelvetica-Bold,0,1
KtjhdfAdvTT83913201.I,1,0
JxqwvyAdvTT837b8832.BI,0,1
RpctcxHelvetica-Bold,0,1
RqxtnxMyriadPro-SemiboldSemiCn,0,1
PmywllSButtons,0,0
KvxslsMyriadPro-SemiCn,0,0
Code2000,0,0
EuclidSymbol-Italic,1,0
Times-Bold,0,1
TimesNewRomanPS-BoldMT,0,1
TimesNewRomanPS-BoldMT2,0,1
PkqgwkAdvTTe45e47d2,0,0
NhlhjpAdvTT7329fd89.I,1,0
YbphcxAdvTTaf7f9f4f.B,0,1
JhjkjwAdvTTb5929f4c,0,0
NllvwfAdvTT99c4c969,0,0
FrvgwxAdvTT86d47313,0,0
SyvkdrAdvTT8861b38f.I,1,0
VckcltAdvTT1b53b5fb.I,1,0
GdmjcbAdvTT43ccf47d,0,0
NxsxpfAdvTT4fa15320.B,0,1
QqkwkwAdvTT5fa5645c.I,1,0
FrfnntAdvTT83913201.I,1,0
LsxgkjAdvTTdc31fe69.BI,0,1
TrjfypAdvP4C4E74,0,0
WvyxttAdvP4C4E46,0,0
LwmglmAdvP4C4E51,0,0
21,0,0
MnsstrArialMT,0,0
FdctrbArial-BoldMT,0,1
BrplgtArial-ItalicMT,1,0
CourierNewPS-BoldMT,0,1
Helvetica-Bold,0,1
Helvetica,0,0
Helvetica2,0,0
Helvetica3,0,0
Helvetica4,0,0
Helvetica5,0,0
Helvetica6,0,0
FrkwvvAdvTTe45e47d2,0,0
PhvxldAdvTT7329fd89.I,1,0
QsvwmwAdvTTaf7f9f4f.B,0,1
FbhpnjAdvTTb5929f4c,0,0
CtpdrlAdvTT99c4c969,0,0
NjqqpjAdvTT1b53b5fb.I,1,0
LrqkkyAdvTT86d47313,0,0
HtnwwfAdvTT8861b38f.I,1,0
ChftpjAdvP4C4E74,0,0
YfnfxcAdvP4C4E51,0,0
LqhfhcAdvTTdc31fe69.BI,0,1
PdsmrmAdvTT837b8832.BI,0,1
ThljfkAdvTT83913201.I,1,0
QbsgmlAdvP4C4E46,0,0
CsnkyrArialMT,0,0
SwhdysArial-BoldMT,0,1
QjxmtfArial-ItalicMT,1,0
DfffsgMyriadPro-Regular,0,0
RtylndMyriadPro-It,1,0
FpfjhqMyriadPro-Bold,0,1
HlmfjyMyriadPro-Light,0,0
FfsjqgMyriadPro-Semibold,0,1
GcfwwvWarnockPro-Regular,0,0
RksvfpWarnockPro-It,1,0
KwpknqMyriadPro-LightIt,1,0
RdnfwqMTSY,0,0
CvmxnrAdvPTimes,0,0
PbxwbxAdvPTimesB,0,1
ByrbwsAdvNPSTim-B,0,1
LltgjpAdvPSSym,0,0
WwqwrpAdvP4C4E74,0,0
QssjxyAdvPSSPS-AS,0,0
NtsgdyAdvSPRING-R,0,0
LyfjvqAdvPTimesI,1,0
VjssdxAdvPSMP10,0,0
MnkblnAdvPSMP4,0,0
NvhcxwAdvP4C4E51,0,0
LydxdsAdvP4C4E46,0,0
NqrpjsTimesNewRomanPSMT,0,0
DjthdcAdvTir_symb,0,0
LrvxclAdvP4C4E59,0,0
EuclidSymbol,0,0
ArialMT2,0,0
ArialMT3,0,0
HqbwnfAdvPTimes,0,0
RhkwcpAdvPTimesB,0,1
MqlkqdAdvNPSTim-B,0,1
HgljvkAdvPSSym,0,0
NvmbrwAdvTir_symb,0,0
WjfcmyAdvP4C4E74,0,0
FfptrvAdvPSSPS-AS,0,0
DdxgdxAdvSPRING-R,0,0
XvvxqxAdvPTimesI,1,0
CkbqkdAdvPSMP13,0,0
SfgwkpAdvP4C4E59,0,0
FmyyblArialMT,0,0
YjvndtTimesNewRomanPSMT,0,0
RsjgtrTimes-Bold,0,1
YfsykdAdvPTimes,0,0
YvntrsAdvPTimesB,0,1
VwxhqxAdvNPSTim-B,0,1
YcpwkkAdvPSSym,0,0
CwrvrgAdvP4C4E74,0,0
DsdjwpAdvPSSPS-AS,0,0
